"","INSTNM","CITY","STABBR","ZIP","HCM2","ST_FIPS","REGION","LOCALE","LOCALE2","LATITUDE","LONGITUDE","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT45_PRIV","NPT4_PROG","NPT4_OTHER","TUITIONFEE_IN","TUITIONFEE_OUT","PCTPELL"
"4919","University of Fort Lauderdale","Lauderhill","FL","33313",0,12,5,"21",NA,"26.147098","-80.204938","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7410","7410","0.5207"
"4920","Aviation Institute of Maintenance-Orlando","Casselberry","FL","32707",0,12,5,"21",NA,"28.680653","-81.334196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16757","16757","0.5524"
"4921","Summit Salon Academy","Tampa","FL","33624",0,12,5,"21",NA,"28.051825","-82.525411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19264",NA,NA,NA,NA,"0.4645"
"4922","Summit Salon Academy-Gainesville","Gainesville","FL","32607",0,12,5,"22",NA,"29.654808","-82.416921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23672",NA,NA,NA,NA,"0.6561"
"4923","Tenaj Salon Institute","The Villages","FL","32162",0,12,5,"13",NA,"28.929944","-82.028094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23998",NA,NA,NA,NA,"0.8323"
"4924","Profile Institute of Barber-Styling","Atlanta","GA","30315",0,13,5,"11",NA,"33.681424","-84.388057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6957"
"4925","Keune Academy by 124","Lawrenceville","GA","30043",0,13,5,"21",NA,"33.96488","-84.02253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16549",NA,NA,NA,NA,"0.4586"
"4926","Pacific Rim Christian University","Honolulu","HI","96819-2228",0,15,8,"11",NA,"21.328198","-157.888379","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12380","12380","0.748"
"4927","Paul Mitchell the School-Twin Falls","TWIN FALLS","ID","83301",0,16,7,"33",NA,"42.555761","-114.469533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21757",NA,NA,NA,NA,"0.75"
"4928","Ambria College of Nursing","Hoffman Estates","IL","60192",0,17,3,"13",NA,"42.075628","-88.2109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.553"
"4929","Midwestern Career College","Chicago","IL","60202",0,17,3,"11",NA,"41.88053","-87.63739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4365"
"4930","Paul Mitchell the School-Normal","Normal","IL","61761",0,17,3,"22",NA,"40.50938","-88.959619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16637",NA,NA,NA,NA,"0.4303"
"4931","Innovations Design Academy","Canton","IL","61520",0,17,3,"32",NA,"40.558545","-90.033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.78"
"4932","Aveda Fredric's Institute-Indianapolis","Carmel","IN","46032",0,18,3,"11",NA,"39.908216","-86.066049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26170",NA,NA,NA,NA,"0.3399"
"4933","Summit Salon Academy","Anderson","IN","46013",0,18,3,"13",NA,"40.063021","-85.654184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19729",NA,NA,NA,NA,"0.4608"
"4934","Eric Fisher Academy","Wichita","KS","67212",0,20,4,"11",NA,"37.693713","-97.422011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18171",NA,NA,NA,NA,"0.3923"
"4935","My Le's Beauty College","Gretna","LA","70056",0,22,5,"21",NA,"29.902428","-90.029931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.75"
"4936","Blackstone Valley Vocational Regional School District","Upton","MA","01568-1499",0,25,1,"21",NA,"42.16382","-71.616243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4054"
"4937","Southern Worcester County Regional Vocational School District","Charlton","MA","01507-1331",0,25,1,"41",NA,"42.133623","-71.957564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27927",NA,NA,NA,NA,NA,"0.5667"
"4938","L'esprit Academy","Canton","MI","48187-3669",0,26,3,"21",NA,"42.321904","-83.457386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15917",NA,NA,NA,NA,"0.4961"
"4939","Marketti Academy of Cosmetology","Waterford","MI","48329",0,26,3,"21",NA,"42.683352","-83.374733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1339"
"4940","Avalon School of Cosmetology","Worthington","MN","56187",0,27,4,"33",NA,"43.631842","-95.602503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4324"
"4941","American Business and Technology University","St Joseph","MO","64501",0,29,4,"13",NA,"39.779095","-94.819797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0398"
"4942","City Vision University","Kansas City","MO","64106-3028",0,29,4,"11",NA,"39.101164","-94.569475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","6000","0.6538"
"4943","Bitterroot School of Cosmetology","Hamilton","MT","59840",0,30,7,"33",NA,"46.273475","-114.159449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1795"
"4944","Montana Academy of Salons","Great Falls","MT","59405",0,30,7,"13",NA,"47.49941","-111.303922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17779",NA,NA,NA,NA,"0.4586"
"4945","National Career Institute","East Orange","NJ","07018",0,34,2,"21",NA,"40.76137","-74.222091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.658"
"4946","Paul Mitchell the School-Albuquerque","Albuquerque","NM","87110",0,35,6,"11",NA,"35.102306","-106.566537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21247",NA,NA,NA,NA,"0.3958"
"4947","International Academy of Style","Reno","NV","89502-1559",0,32,8,"11",NA,"39.516281","-119.783208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22480",NA,NA,NA,NA,"0.5447"
"4948","EDP School","Brooklyn","NY","11235",0,36,2,"11",NA,"40.58605","-73.952901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7848"
"4949","New York Medical Career Training Center","Flushing","NY","11354",0,36,2,"11",NA,"40.7608","-73.829753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1548"
"4950","Institute of Culinary Education","New York","NY","10281",0,36,2,"11",NA,"40.712449","-74.015637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1897"
"4951","The Salon Professional Academy-Tonawanda","Tonawanda","NY","14150",0,36,2,"21",NA,"42.981584","-78.824364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16631",NA,NA,NA,NA,"0.5268"
"4952","Paul Mitchell the School-NYC","Staten Island","NY","10306",0,36,2,"11",NA,"40.573227","-74.114517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21682",NA,NA,NA,NA,"0.3571"
"4953","Four County Career Center","Archbold","OH","43502",0,39,3,"42",NA,"41.452808","-84.303115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0119"
"4954","Summit Salon Academy-Perrysburg","Perrysburg","OH","45551",0,39,3,"21",NA,"41.54424","-83.620281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13867",NA,NA,NA,NA,"0.3047"
"4955","Portland Actors Conservatory","Portland","OR","97209",0,41,8,"11",NA,"45.500424","-122.670741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12115","12115","0.2667"
"4956","Somerset County Technology Center","Somerset","PA","15501-4309",0,42,2,"41",NA,"40.00475","-79.029641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10758",NA,NA,NA,NA,NA,"0.5972"
"4957","Metro Beauty Academy","Allentown","PA","18106",0,42,2,"21",NA,"40.56865","-75.555591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20003",NA,NA,NA,NA,"0.2822"
"4958","Academy for Careers and Technology","Mullins","SC","29574-6009",0,45,5,"41",NA,"34.186433","-79.340157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8299",NA,NA,NA,NA,NA,"0.4262"
"4959","Aiken School of Cosmetology and Barbering","Aiken","SC","29803",0,45,5,"21",NA,"33.559545","-81.71728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2857"
"4960","Love Beauty School Inc","Manchester","TN","37355",0,47,5,"32",NA,"35.488524","-86.093863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5741"
"4961","Houston International College Cardiotech Ultrasound School","Houston","TX","77099",0,48,6,"11",NA,"29.675203","-95.592909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11868","11868","0.4247"
"4962","DuVall's School of Cosmetology","Bedford","TX","76021",0,48,6,"21",NA,"32.852275","-97.168105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19437",NA,NA,NA,NA,"0.5082"
"4963","Texas Beauty College","Haltom city","TX","76117",0,48,6,"21",NA,"32.826045","-97.265311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7579"
"4964","Avenue Five Institute","Austin","TX","78757",0,48,6,"11",NA,"30.369503","-97.728961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4082"
"4965","The Salon Professional Academy-Lewisville","Lewisville","TX","75067",0,48,6,"21",NA,"33.005024","-96.964907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23502",NA,NA,NA,NA,"0.428"
"4966","Renaissance Academie","Provo","UT","84604",0,49,7,"12",NA,"40.25395","-111.665961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7459"
"4967","Ascent College","Hampton","VA","23666",0,51,5,"12",NA,"37.04127","-76.409526","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8620",NA,NA,"9092","9092","0.4571"
"4968","Institute of Advanced Medical Esthetics","Ashland","VA","23005-2111",0,51,5,"21",NA,"37.757885","-77.47441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5909"
"4969","Aveda Arts & Sciences Institute Seattle","Seattle","WA","98122",0,53,8,"11",NA,"47.614402","-122.32176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2245"
"4970","Northwest School of Wooden Boat Building","Port Hadlock","WA","98339",0,53,8,"41",NA,"48.03413","-122.752588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16050","16050","0.2963"
"4971","The Salon Professional Academy-Onalaska","Onalaska","WI","54650",0,55,3,"13",NA,"43.87382","-91.19732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13617",NA,NA,NA,NA,"0.4078"
"4972","West Coast University-Orange County","Anaheim","CA","92802-2905",0,6,8,"11",NA,"33.81104","-117.911811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37981",NA,NA,"22548","22548","0.441"
"4973","West Coast University-Ontario","Ontario","CA","91761-7698",0,6,8,"12",NA,"34.066591","-117.590035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45337",NA,NA,"35178","35178","0.543"
"4974","Paul Mitchell the School-Chicago","Chicago","IL","60607",0,17,3,"11",NA,"41.866213","-87.646644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5599"
"4975","Miller-Motte College-Fayetteville","Fayetteville","NC","28311",0,37,5,"12",NA,"35.11096","-78.88167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4833"
"4976","European Massage Therapy School-Las Vegas","Las Vegas","NV","89117",0,32,8,"11",NA,"36.145445","-115.300577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3467"
"4977","Miller-Motte College-Columbus","Columbus","GA","31907",0,13,5,"12",NA,"32.479997","-84.935912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.796"
"4978","The Art Institute of Virginia Beach","Virginia Beach","VA","23462",0,51,5,"11",NA,"36.842383","-76.131737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32299",NA,NA,"19354","19354","0.5315"
"4979","Fortis College-Indianapolis","Indianapolis","IN","46268",0,18,3,"11",NA,"39.9184","-86.223181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14726","14726","0.7207"
"4980","Empire Beauty School-E Memphis","Memphis","TN","38117",0,47,5,"11",NA,"35.115499","-89.90197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5926"
"4981","Empire Beauty School-Nashville","Brentwood","TN","37027",0,47,5,"21",NA,"35.967868","-86.814676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4773"
"4982","Empire Beauty School-Jackson","Jackson","TN","38301",0,47,5,"13",NA,"35.63694","-88.847611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6786"
"4983","Empire Beauty School-Springfield","Springfield","PA","19064",0,42,2,"21",NA,"39.93765","-75.349771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21812",NA,NA,NA,NA,"0.65"
"4984","Empire Beauty School-Speedway","Speedway","IN","46224",0,18,3,"21",NA,"39.80055","-86.261512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.621"
"4985","Empire Beauty School-Morrow","Morrow","GA","30260",0,13,5,"21",NA,"33.564936","-84.32568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6541"
"4986","Strayer University-Arkansas","Little Rock","AR","72201",0,5,5,"12",NA,"34.74735","-92.396031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13515","13515","0.8256"
"4987","Strayer University-Georgia","Chamblee","GA","30341",0,13,5,"21",NA,"33.874236","-84.275624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13515","13515","0.7837"
"4988","Strayer University-Mississippi","Jackson","MS","39201",0,28,5,"12",NA,"32.300562","-90.188097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13515","13515","0.8321"
"4989","Strayer University-South Carolina","Greenville","SC","29607",0,45,5,"13",NA,"34.85654","-82.357811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13515","13515","0.7584"
"4990","Strayer University-Texas","Farmers Branch","TX","75234",0,48,6,"11",NA,"30.371175","-97.73985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13515","13515","0.7202"
"4991","The Art Institute of San Antonio","San Antonio","TX","78230",0,48,6,"11",NA,"29.532925","-98.56556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25240",NA,NA,"19354","19354","0.4354"
"4992","Empire Beauty School-Charlotte","Charlotte","NC","28213",0,37,5,"11",NA,"35.25855","-80.7837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.592"
"4993","Empire Beauty School-Winston-Salem","Winston-Salem","NC","27106",0,37,5,"12",NA,"36.152612","-80.282751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19588",NA,NA,NA,NA,"0.6121"
"4994","Empire Beauty School-West Palm","West Palm Beach","FL","33409",0,12,5,"21",NA,"26.705541","-80.107401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6847"
"4995","Empire Beauty School-Pineville","Charlotte","NC","28226",0,37,5,"21",NA,"35.089864","-80.865367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20247",NA,NA,NA,NA,"0.5984"
"4996","Paul Mitchell the School-Phoenix","Phoenix","AZ","85017",0,4,6,"11",NA,"33.523667","-112.133047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21915",NA,NA,NA,NA,"0.539"
"4997","All Beauty College","Bullhead City","AZ","86442",0,4,6,"33",NA,"35.101946","-114.5945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8261"
"4998","Paul Mitchell the School-Modesto","Modesto","CA","95350",0,6,8,"12",NA,"37.68301","-120.993745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5456"
"4999","Cosmo Beauty Academy","Sacramento","CA","95821-6800",0,6,8,"21",NA,"38.62883","-121.401027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3418"
"5000","Paul Mitchell the School-Fresno","Fresno","CA","93710",0,6,8,"11",NA,"36.809778","-119.782437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22241",NA,NA,NA,NA,"0.5513"
"5001","Unitek College","Fremont","CA","94538",0,6,8,"21",NA,"37.50904","-121.961761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40172",NA,NA,NA,NA,"0.3814"
"5002","Gurnick Academy of Medical Arts","San Mateo","CA","94403",0,6,8,"12",NA,"37.547377","-122.307618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32887",NA,NA,NA,NA,"0.4936"
"5003","Paul Mitchell the School-East Bay","Pleasant Hill","CA","94523",0,6,8,"21",NA,"37.94492","-122.061226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21367",NA,NA,NA,NA,"0.5018"
"5004","South University-Richmond","Glen Allen","VA","23060",0,51,5,"21",NA,"37.64706","-77.599967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17014","17014","0.474"
"5005","South University-Virginia Beach","Virginia Beach","VA","23452",0,51,5,"11",NA,"36.8336","-76.124288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17014","17014","0.4523"
"5006","Aveda Institute-Denver","Denver","CO","80204",0,8,7,"11",NA,"39.745214","-104.992758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21902",NA,NA,NA,NA,"0.3019"
"5007","Paul Mitchell the School-Colorado Springs","Colorado Springs","CO","80903",0,8,7,"11",NA,"38.832889","-104.828339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5026"
"5008","The Salon Professional Academy-Colorado Springs","Colorado Springs","CO","80918",0,8,7,"11",NA,"38.896966","-104.750884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3226"
